no;name;id
1;Vernetzung_Einzelquelle;ver_ein
1;Vernetzung_Q_system;ver_qsy
1;Vernetzung_Q_komplex;ver_qko
2;Fassung_Brunnenstube_mit_Ueberlauf_neu;bru_neu
2;Fassung_Brunnenstube_mit_Ueberlauf_alt;bru_alt
2;Fassung_Brunnenstube_mit_Ueberlauf_verfallen;bru_ver
2;Fassung_Rohr_und_Becken_neu;r_b_neu
2;Fassung_Rohr_und_Becken_alt;r_b_alt
2;Fassung_Rohr_und_Becken_verfallen;r_b_ver
2;Fassung_nur_Rohr_Rinne_neu;r_r_neu
2;Fassung_nur_Rohr_Rinne_alt;r_r_alt
2;Fassung_nur_Rohr_Rinne_verfallen;r_r_ver
2;Fassung_keine;fas_kei
3;Klassierung_naturnah;kla_nat
3;Klassierung_bedingt_naturnah;kla_bed
3;Klassierung_maessig_beeintraechtigt;kla_mae
3;Klassierung_geschaedigt;kla_ges
3;Klassierung_stark_geschaedigt;kla_sta
4;Bewertung_1;be1
4;Bewertung_2;be2
4;Bewertung_3;be3
4;Bewertung_4;be4
4;Bewertung_5;be5
