name;result 1;result 2;result 3;result 4;result 5;result 6;result 7;result 8;result 9;result 10;result 11;result 12
Name;1202 Gand 1;1202 Zen Staflen 6 unvollständig;1202-5011 Bäzgand 1;1202-5015 Gandstafel 1;1204-5025 Secki 1;1205 Teilalp 5;1205-5005 Spiss 1;1205-5017 Ennermatt 1 unvollständig;1205-5024 Stelli 4;1205-5069 Lücken 1;1219-5011 Unter Balm 3;1219-5061 Ueligschwand 2
Kanton;UR;UR;UR;UR;UR;UR;UR;UR;UR;UR;UR;UR
ID;1202-50xx;1202-50xx;1202-5011;1202-5015;1204-5025;1205-10xx;1205-5005;1205-5017;1205-5024;1205-5069;1219-5011;1219-5061
Quellname;Gand 1;Zen Staflen 6;Bäzgand 1;Gandstafel 1;Secki 1;Teilalp 5;Spiss 1;Ennermatt 1;Stelli 4;Lücken 1;Unter Balm 3;Ueligschwand 2
Datum;20.08.2021;13.08.2021;21.07.2021;20.08.2021;11.08.2021;23.07.2021;12.07.2022;12.07.2022;18.08.2021;30.07.2021;14.07.2021;22.07.2021
Koord_X;692646;691863;687795;692540;686584;695158;693285;693550;697147;695349;706165;701562
Koord_Y;168037;167781;166149;168030;198943;195715;192610;192705;196038;195587;192383;189274
Flurname;Gand;Zen Staflen;Bäzgand;Gandstafel;Secki;Teilalp;Spiss;Ennermatt;Stelli;Lücken;Unter Balm;Ueligschwand
Hoehe_mueM;1986;1863;1392;2002;505;1728;640;650;1789;1775;1830;1165
BearbeiterIn;kag;kag;kag;kag;kag;kag;kag;kag;kag;kag;kag;kag
Austrittform;Fliessquelle;Sickerquelle;Tümpelquelle;;Fliessquelle;künstlich;Fallquelle;;künstlich;Fallquelle;künstlich;Fallquelle
Hanglage;Tallage;Hangfuss;Tallage;;Mittelhang;Mittelhang;Mittelhang;;Mittelhang;Mittelhang;Mittelhang;Oberhang
Abflussrichtung;SW;SW;SO;;O;;SO;;;S;S;W
Gelaendeneigung;schwach;mässig;schwach;;mässig;schwach;mässig;;mässig;stark;mässig;schroff
Quellschuettung;ganzjährig;ganzjährig;ganzjährig;;;;;;;;ganzjährig;ganzjährig
Fliessgeschwindigkeit;langsam;langsam;mässig;;sehr schnell;;mässig;;stehend;mässig;sehr schnell;sehr schnell
Quelle_Groesse;3;5;5;;15;;2;;1;5;2;1
Quellbereich;18;15;7;;25;;3;;1;10;2;6
Quellbachlaenge;8;40;50;;20;;20;;0;250;1;160
Wassertemperatur;8.4;7.6;7.2;;12.5;;13.3;;15.5;;4.6;8
Quellschuettung;0.1;;36;;15;;0.5;;0.1;0.4;150;50
Leitfaehigkeit;52;88;45;;287;;510;;215;;213;270
Vernetzung_Einzelquelle;x;;x;;x;;;;;x;;
Vernetzung_Q_system;;;;;;;x;;x;;x;x
Vernetzung_Q_komplex;;x;;;;;;;;;;
Distanz_Nachbarquelle;;20;;;;;;;35;;40;40
Anzahl_Austritte;1;3;1;;1;;15;;1;1;1;2
Bemerkungen;"Frösche, Turbellaria, Trichoptera, Muschel, rote ""Würmer""; sehr schöne Quelle; Metalldraht und -bogen im Wasser; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)";"pH 7.00; Turbellaria, viele Trichoptera; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)";"pH 7.40; Mollusca (Foto), Wasserläufer, Jungfrosch; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)";Keine Quelle gefunden;"pH 7.70; Fauna nicht untersucht; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)";"Quelle gefasst; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)";"Wasser fliesst an den Wänden des Tunnels herab, Quellbach fliesst in Rinne und dann Dohle; Kalksinter, Terassenbildung, teilweise Eisenablagerungen; keine Vegetation; Im Quellkataster al Quellen 1205-5005 bis 5015 erfasst, aber besser als eine einzige Quelle anzusehen";nicht kartiert, schlecht zugänglich, hohe Brennessel- und Brombeerstauden;"pH 8.80; Hahn war zugedreht";"Austritt war nicht erreichbar für Messung und Fauna; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)";"pH 8.03; Revitalisierung wäre sehr umfangreich, aber möglich; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen & Hochwasser)";"pH 8.00; Fauna nicht untersucht; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen & Hochwasser)"
Fotos_Dokumente;x;x;x;;x;x;x;;;x;x;x
Foto_ID;1202 Gand 1;1202 Zen Staflen 6;1202-5011;;1204-5025;1205 Teilalp 5;1205.5005 Spiss 1;;;1205-5069;1219-5011;1219-5061
Trinkwassernutzung;;;;;;;;;;;;
Schutzstatus;;;;;;;;;;;;
Kulturhistorische_Bedeutung;;;;;;;;;;;;
Revitalisierungsobjekt;JA;NEIN;JA;;JA;NEIN;;;JA;NEIN;JA;NEIN
Klassierung_naturnah;x;x;;;;;;;;x;;x
Klassierung_bedingt_naturnah;;;x;;x;;;;;;;
Klassierung_maessig_beeintraechtigt;;;;;;;;;;;;
Klassierung_geschaedigt;;;;;;;;;;;;
Klassierung_stark_geschaedigt;;;;;;x;x;;x;;x;
Bewertung_1;;x;;;;;;;;x;;x
Bewertung_2;x;;;;x;;;;;;;
Bewertung_3;;;x;;;;;;;;;
Bewertung_4;;;;;;;;;;;;
Bewertung_5;;;;;;;x;;x;;x;
Wert_A_Beeintraechtigung;3;1;4;;3;5;5;;5;1;5;1
Wert_B_Vegetation_Nutzung_Struktur;1.722222222;1.94047619;1.678571429;;1.375;;4.125;;3.574074074;1.345833333;4;1.083333333
Aufwertung;0.4;0;0;0;0;0;0;0;0;0;0;0.4
Gesamtergebnis;1.961111111;1.470238095;2.839285714;;2.1875;;4.5625;;4.287037037;1.172916667;4.5;0.641666667
Nicht_bewertbar_zerstoert;;;;;;;;;;;;
Nicht_bewertbar_kein_Abfluss;;;;x;;x;;;x;;;
pH-Wert;;7;7.4;;7.7;;;;8.8;;8.03;8
